comment,cleaning,case_folding,normalisasi,tokenize,stopword removal
❤ KEREN GAS POOLL DAN RATAKAN, KEREN GAS POOLL DAN RATAKAN, keren gas pooll dan ratakan,keren gas pooll dan ratakan,"['keren', 'gas', 'pooll', 'dan', 'ratakan']",keren gas pooll ratakan
"Siapapun  yg namanya diusir,baik secara perorangan maupun kelompok itu sangat dihinakan..",Siapapun  yg namanya diusirbaik secara perorangan maupun kelompok itu sangat dihinakan,siapapun  yg namanya diusirbaik secara perorangan maupun kelompok itu sangat dihinakan,siapapun yang namanya diusirbaik secara perorangan maupun kelompok itu sangat dihinakan,"['siapapun', 'yang', 'namanya', 'diusirbaik', 'secara', 'perorangan', 'maupun', 'kelompok', 'itu', 'sangat', 'dihinakan']",namanya diusirbaik perorangan kelompok dihinakan
Gempur jangan kasih kendor,Gempur jangan kasih kendor,gempur jangan kasih kendor,gempur jangan kasih kendor,"['gempur', 'jangan', 'kasih', 'kendor']",gempur kasih kendor
"Ternyata hanya di usir katanya mau di hancurkan,",Ternyata hanya di usir katanya mau di hancurkan,ternyata hanya di usir katanya mau di hancurkan,ternyata hanya di usir katanya mau di hancurkan,"['ternyata', 'hanya', 'di', 'usir', 'katanya', 'mau', 'di', 'hancurkan']",usir hancurkan
"Majulah kapal,,, kalau maju menyala Abang ku,,,di langit yang biru...",Majulah kapal kalau maju menyala Abang kudi langit yang biru,majulah kapal kalau maju menyala abang kudi langit yang biru,majulah kapal kalau maju menyala abang kudi langit yang biru,"['majulah', 'kapal', 'kalau', 'maju', 'menyala', 'abang', 'kudi', 'langit', 'yang', 'biru']",majulah kapal maju menyala kudi langit biru
As dan zionis tidak mengaplikasikan sila ke dua dari Pancasila..,As dan zionis tidak mengaplikasikan sila ke dua dari Pancasila,as dan zionis tidak mengaplikasikan sila ke dua dari pancasila,as dan zionis tidak mengaplikasikan sila ke dua dari pancasila,"['as', 'dan', 'zionis', 'tidak', 'mengaplikasikan', 'sila', 'ke', 'dua', 'dari', 'pancasila']",amerika serikat zionis mengaplikasikan sila pancasila
Persiden amerika dia mabuk ka. Turusan hormos  di iran bukan di amerika,Persiden amerika dia mabuk ka Turusan hormos  di iran bukan di amerika,persiden amerika dia mabuk ka turusan hormos  di iran bukan di amerika,persiden amerika dia mabuk kak turusan hormos di iran bukan di amerika,"['persiden', 'amerika', 'dia', 'mabuk', 'kak', 'turusan', 'hormos', 'di', 'iran', 'bukan', 'di', 'amerika']",persiden amerika mabuk kak turusan hormos iran amerika
allahhu akbar,allahhu akbar,allahhu akbar,allahhu akbar,"['allahhu', 'akbar']",allahhu akbar
Hurmuz jangan sampai jatuh kepada as dan zioniz .. mereka itu licik. Suk kuasai dunia .. memerangi orang yang tidak bersalah..,Hurmuz jangan sampai jatuh kepada as dan zioniz  mereka itu licik Suk kuasai dunia  memerangi orang yang tidak bersalah,hurmuz jangan sampai jatuh kepada as dan zioniz  mereka itu licik suk kuasai dunia  memerangi orang yang tidak bersalah,hurmuz jangan sampai jatuh kepada as dan zioniz mereka itu licik suka kuasai dunia memerangi orang yang tidak bersalah,"['hurmuz', 'jangan', 'sampai', 'jatuh', 'kepada', 'as', 'dan', 'zioniz', 'mereka', 'itu', 'licik', 'suka', 'kuasai', 'dunia', 'memerangi', 'orang', 'yang', 'tidak', 'bersalah']",hurmuz jatuh amerika serikat zioniz licik suka kuasai dunia memerangi bersalah
Sebuk trump mengatur negara org.,Sebuk trump mengatur negara org,sebuk trump mengatur negara org,sebuk trump mengatur negara orang,"['sebuk', 'trump', 'mengatur', 'negara', 'orang']",sebuk trump mengatur negara
Kecewa umat manusia di seluruh dunia ke napa ngak di lenyap kapal milik biang kerok dunia.,Kecewa umat manusia di seluruh dunia ke napa ngak di lenyap kapal milik biang kerok dunia,kecewa umat manusia di seluruh dunia ke napa ngak di lenyap kapal milik biang kerok dunia,kecewa umat manusia di seluruh dunia ke kenapa tidak di lenyap kapal milik biang kerok dunia,"['kecewa', 'umat', 'manusia', 'di', 'seluruh', 'dunia', 'ke', 'kenapa', 'tidak', 'di', 'lenyap', 'kapal', 'milik', 'biang', 'kerok', 'dunia']",kecewa umat manusia dunia lenyap kapal milik biang kerok dunia
"Hahaaa,,,, Iran banyak klaim dan banyaan boongnya😅 klo Iran  berani koq cuman diusir gitu, knapa tdk dihancurkan kapalnya😅 kasihan tuh Iran banyak berhalusinasi hanya demi menutup malunya dr negara2 Arab bahwa Iran saat ini sudah lemah dan tak berdaya 😂😂😂",Hahaaa Iran banyak klaim dan banyaan boongnya klo Iran  berani koq cuman diusir gitu knapa tdk dihancurkan kapalnya kasihan tuh Iran banyak berhalusinasi hanya demi menutup malunya dr negara Arab bahwa Iran saat ini sudah lemah dan tak berdaya ,hahaaa iran banyak klaim dan banyaan boongnya klo iran  berani koq cuman diusir gitu knapa tdk dihancurkan kapalnya kasihan tuh iran banyak berhalusinasi hanya demi menutup malunya dr negara arab bahwa iran saat ini sudah lemah dan tak berdaya ,hahaaa iran banyak klaim dan banyaan boongnya kalau iran berani kok cuman diusir begitu knapa tidak dihancurkan kapalnya kasihan tuh iran banyak berhalusinasi hanya demi menutup malunya dari negara arab bahwa iran saat ini sudah lemah dan tak berdaya,"['hahaaa', 'iran', 'banyak', 'klaim', 'dan', 'banyaan', 'boongnya', 'kalau', 'iran', 'berani', 'kok', 'cuman', 'diusir', 'begitu', 'knapa', 'tidak', 'dihancurkan', 'kapalnya', 'kasihan', 'tuh', 'iran', 'banyak', 'berhalusinasi', 'hanya', 'demi', 'menutup', 'malunya', 'dari', 'negara', 'arab', 'bahwa', 'iran', 'saat', 'ini', 'sudah', 'lemah', 'dan', 'tak', 'berdaya']",hahaaa iran klaim banyaan boongnya iran berani cuman diusir knapa dihancurkan kapalnya kasihan iran berhalusinasi menutup malunya negara arab iran lemah berdaya
Kena kapal cina dan Rusia yg diblogade as apa gk jadi perang besar,Kena kapal cina dan Rusia yg diblogade as apa gk jadi perang besar,kena kapal cina dan rusia yg diblogade as apa gk jadi perang besar,kena kapal cina dan rusia yang diblogade as apa tidak jadi perang besar,"['kena', 'kapal', 'cina', 'dan', 'rusia', 'yang', 'diblogade', 'as', 'apa', 'tidak', 'jadi', 'perang', 'besar']",kena kapal cina rusia diblogade amerika serikat perang
Amerika dan Donal bebek memang bener2 biang kerok. Ntahlah saya tidak sabar untuk melihat akhir dari semua ini.,Amerika dan Donal bebek memang bener biang kerok Ntahlah saya tidak sabar untuk melihat akhir dari semua ini,amerika dan donal bebek memang bener biang kerok ntahlah saya tidak sabar untuk melihat akhir dari semua ini,amerika dan donal bebek memang benar biang kerok ntahlah saya tidak sabar untuk melihat akhir dari semua ini,"['amerika', 'dan', 'donal', 'bebek', 'memang', 'benar', 'biang', 'kerok', 'ntahlah', 'saya', 'tidak', 'sabar', 'untuk', 'melihat', 'akhir', 'dari', 'semua', 'ini']",amerika donald bebek biang kerok ntahlah sabar
Bravo rakyat Iran semua jiwa ksatria mental baja lebih baik di Medan tempur dari pada menyerah 👍👍,Bravo rakyat Iran semua jiwa ksatria mental baja lebih baik di Medan tempur dari pada menyerah ,bravo rakyat iran semua jiwa ksatria mental baja lebih baik di medan tempur dari pada menyerah ,bravo rakyat iran semua jiwa ksatria mental baja lebih baik di medan tempur dari pada menyerah,"['bravo', 'rakyat', 'iran', 'semua', 'jiwa', 'ksatria', 'mental', 'baja', 'lebih', 'baik', 'di', 'medan', 'tempur', 'dari', 'pada', 'menyerah']",bravo rakyat iran jiwa ksatria mental baja medan tempur menyerah
"Mampus kau AS 
Modar kau esrael 
Rudal saja wahai Iran ga usah di beri peringatan","Mampus kau AS 
Modar kau esrael 
Rudal saja wahai Iran ga usah di beri peringatan","mampus kau as 
modar kau esrael 
rudal saja wahai iran ga usah di beri peringatan",mampus kau as modar kau esrael rudal saja wahai iran tidak usah di beri peringatan,"['mampus', 'kau', 'as', 'modar', 'kau', 'esrael', 'rudal', 'saja', 'wahai', 'iran', 'tidak', 'usah', 'di', 'beri', 'peringatan']",mampus kau amerika serikat modar kau esrael rudal iran peringatan
"Rezim setan iran sebentar selesai, iran tak ada lagi di peta... Bravo israel &usa",Rezim setan iran sebentar selesai iran tak ada lagi di peta Bravo israel usa,rezim setan iran sebentar selesai iran tak ada lagi di peta bravo israel usa,rezim setan iran sebentar selesai iran tak ada lagi di peta bravo israel usah,"['rezim', 'setan', 'iran', 'sebentar', 'selesai', 'iran', 'tak', 'ada', 'lagi', 'di', 'peta', 'bravo', 'israel', 'usah']",rezim setan iran sebentar selesai iran peta bravo israel
Oraang gilaa gak mau kalah sendiri mau nyeret orang laiin diih gilaaa,Oraang gilaa gak mau kalah sendiri mau nyeret orang laiin diih gilaaa,oraang gilaa gak mau kalah sendiri mau nyeret orang laiin diih gilaaa,oraang gila tidak mau kalah sendiri mau nyeret orang laiin diih gila,"['oraang', 'gila', 'tidak', 'mau', 'kalah', 'sendiri', 'mau', 'nyeret', 'orang', 'laiin', 'diih', 'gila']",oraang gila kalah nyeret laiin diih gila
Lah kok Amerika cari gara2 dengan Negara Lain juga klo gitu,Lah kok Amerika cari gara dengan Negara Lain juga klo gitu,lah kok amerika cari gara dengan negara lain juga klo gitu,lah kok amerika cari gara dengan negara lain juga kalau begitu,"['lah', 'kok', 'amerika', 'cari', 'gara', 'dengan', 'negara', 'lain', 'juga', 'kalau', 'begitu']",amerika cari gara negara
mimpi km donal bebek allah tidak tdr melihat kejahatan mu  dengan israel,mimpi km donal bebek allah tidak tdr melihat kejahatan mu  dengan israel,mimpi km donal bebek allah tidak tdr melihat kejahatan mu  dengan israel,mimpi kamu donal bebek allah tidak tidur melihat kejahatan mu dengan israel,"['mimpi', 'kamu', 'donal', 'bebek', 'allah', 'tidak', 'tidur', 'melihat', 'kejahatan', 'mu', 'dengan', 'israel']",mimpi donald bebek allah tidur kejahatan israel
"Seolah olah iran masih punya taji untuk melawan, oh berita Indonesia... Jika Amerika mau, selat Hormuz bisa di bersihkan sekarang juga, tpi karena selat Hormuz jalur penting, Amerika bernegosiasi, cepat tau lambat selat Hormuz akan dikuasai amerika",Seolah olah iran masih punya taji untuk melawan oh berita Indonesia Jika Amerika mau selat Hormuz bisa di bersihkan sekarang juga tpi karena selat Hormuz jalur penting Amerika bernegosiasi cepat tau lambat selat Hormuz akan dikuasai amerika,seolah olah iran masih punya taji untuk melawan oh berita indonesia jika amerika mau selat hormuz bisa di bersihkan sekarang juga tpi karena selat hormuz jalur penting amerika bernegosiasi cepat tau lambat selat hormuz akan dikuasai amerika,seolah olah iran masih punya taji untuk melawan oh berita indonesia jika amerika mau selat hormuz bisa di bersihkan sekarang juga tapi karena selat hormuz jalur penting amerika bernegosiasi cepat tau lambat selat hormuz akan dikuasai amerika,"['seolah', 'olah', 'iran', 'masih', 'punya', 'taji', 'untuk', 'melawan', 'oh', 'berita', 'indonesia', 'jika', 'amerika', 'mau', 'selat', 'hormuz', 'bisa', 'di', 'bersihkan', 'sekarang', 'juga', 'tapi', 'karena', 'selat', 'hormuz', 'jalur', 'penting', 'amerika', 'bernegosiasi', 'cepat', 'tau', 'lambat', 'selat', 'hormuz', 'akan', 'dikuasai', 'amerika']",olah iran taji melawan oh berita indonesia amerika selat hormuz bersihkan selat hormuz jalur amerika bernegosiasi cepat lambat selat hormuz dikuasai amerika
Uraaa bravo iran we stay with you,Uraaa bravo iran we stay with you,uraaa bravo iran we stay with you,uraaa bravo iran we stay with you,"['uraaa', 'bravo', 'iran', 'we', 'stay', 'with', 'you']",uraaa bravo iran stay with you
"Gak malu rakyat dunia yg anti syiah 😂 jiwa jihad amar makruf nahi munkar nya NYATA sbg kholifah Allah SWT.
Sy Sunni , tp lebih acung jempol
pd saudaraku Iran syiah drpd tokoh Sunni yg diam & sembunyi.","Gak malu rakyat dunia yg anti syiah  jiwa jihad amar makruf nahi munkar nya NYATA sbg kholifah Allah SWT
Sy Sunni  tp lebih acung jempol
pd saudaraku Iran syiah drpd tokoh Sunni yg diam  sembunyi","gak malu rakyat dunia yg anti syiah  jiwa jihad amar makruf nahi munkar nya nyata sbg kholifah allah swt
sy sunni  tp lebih acung jempol
pd saudaraku iran syiah drpd tokoh sunni yg diam  sembunyi",tidak malu rakyat dunia yang anti syiah jiwa jihad amar makruf nahi munkar ya nyata sebagai kholifah allah swt saya sunni tapi lebih acung jempol pada saudaraku iran syiah daripada tokoh sunni yang diam sembunyi,"['tidak', 'malu', 'rakyat', 'dunia', 'yang', 'anti', 'syiah', 'jiwa', 'jihad', 'amar', 'makruf', 'nahi', 'munkar', 'ya', 'nyata', 'sebagai', 'kholifah', 'allah', 'swt', 'saya', 'sunni', 'tapi', 'lebih', 'acung', 'jempol', 'pada', 'saudaraku', 'iran', 'syiah', 'daripada', 'tokoh', 'sunni', 'yang', 'diam', 'sembunyi']",malu rakyat dunia anti syiah jiwa jihad amar makruf nahi munkar nyata kholifah allah swt sunni acung jempol saudaraku iran syiah tokoh sunni diam sembunyi
Manusia setan harus di basmi Donal bebek hak org di akui manusia kapir semoga Alloh menolong pihak yg benar,Manusia setan harus di basmi Donal bebek hak org di akui manusia kapir semoga Alloh menolong pihak yg benar,manusia setan harus di basmi donal bebek hak org di akui manusia kapir semoga alloh menolong pihak yg benar,manusia setan harus di basmi donal bebek hak orang di akui manusia kapir semoga allah menolong pihak yang benar,"['manusia', 'setan', 'harus', 'di', 'basmi', 'donal', 'bebek', 'hak', 'orang', 'di', 'akui', 'manusia', 'kapir', 'semoga', 'allah', 'menolong', 'pihak', 'yang', 'benar']",manusia setan basmi donald bebek hak akui manusia kapir semoga allah menolong
D bebek menang bacot doang,D bebek menang bacot doang,d bebek menang bacot doang,di bebek menang bacot doang,"['di', 'bebek', 'menang', 'bacot', 'doang']",bebek menang bacot doang
semoga allah bersama orang yg membela kebenaran amin❤❤❤iran,semoga allah bersama orang yg membela kebenaran aminiran,semoga allah bersama orang yg membela kebenaran aminiran,semoga allah bersama orang yang membela kebenaran aminiran,"['semoga', 'allah', 'bersama', 'orang', 'yang', 'membela', 'kebenaran', 'aminiran']",semoga allah membela kebenaran aminiran
TDK seperti skrg ini cm omon omon dan tkt fi kritik SM rakyat nya sendiri,TDK seperti skrg ini cm omon omon dan tkt fi kritik SM rakyat nya sendiri,tdk seperti skrg ini cm omon omon dan tkt fi kritik sm rakyat nya sendiri,tidak seperti sekarang ini cuma omon omon dan tkt di kritik sama rakyat ya sendiri,"['tidak', 'seperti', 'sekarang', 'ini', 'cuma', 'omon', 'omon', 'dan', 'tkt', 'di', 'kritik', 'sama', 'rakyat', 'ya', 'sendiri']",omon omon tkt kritik rakyat
"bukan omon OMON ini sih, salut sama iran",bukan omon OMON ini sih salut sama iran,bukan omon omon ini sih salut sama iran,bukan omon omon ini sih salut sama iran,"['bukan', 'omon', 'omon', 'ini', 'sih', 'salut', 'sama', 'iran']",omon omon salut iran
*IRAN JUGA MELARANG AMERIKA MENDAPATKAN UANG SUPAYA MENJADI NEGARA MISKIN*  😁😁😁,IRAN JUGA MELARANG AMERIKA MENDAPATKAN UANG SUPAYA MENJADI NEGARA MISKIN  ,iran juga melarang amerika mendapatkan uang supaya menjadi negara miskin  ,iran juga melarang amerika mendapatkan uang supaya menjadi negara miskin,"['iran', 'juga', 'melarang', 'amerika', 'mendapatkan', 'uang', 'supaya', 'menjadi', 'negara', 'miskin']",iran melarang amerika uang negara miskin
"Langsung di Rudal aja , biar jadi kapal selam selamanya . 🚀🚀",Langsung di Rudal aja  biar jadi kapal selam selamanya  ,langsung di rudal aja  biar jadi kapal selam selamanya  ,langsung di rudal saja biar jadi kapal selam selamanya,"['langsung', 'di', 'rudal', 'saja', 'biar', 'jadi', 'kapal', 'selam', 'selamanya']",langsung rudal biar kapal selam
Seandainya infonesia py pemimpin kyk Iran berani kuat TDK pembohong dan TDK tkt as km rindu pemimpin seperti itu,Seandainya infonesia py pemimpin kyk Iran berani kuat TDK pembohong dan TDK tkt as km rindu pemimpin seperti itu,seandainya infonesia py pemimpin kyk iran berani kuat tdk pembohong dan tdk tkt as km rindu pemimpin seperti itu,seandainya infonesia punya pemimpin kayak iran berani kuat tidak pembohong dan tidak tkt as kamu rindu pemimpin seperti itu,"['seandainya', 'infonesia', 'punya', 'pemimpin', 'kayak', 'iran', 'berani', 'kuat', 'tidak', 'pembohong', 'dan', 'tidak', 'tkt', 'as', 'kamu', 'rindu', 'pemimpin', 'seperti', 'itu']",seandainya infonesia pemimpin kaya iran berani kuat pembohong tkt amerika serikat rindu pemimpin
"Iran negara bermartabat... Masih dikasi peringatan, padahal itu kapal perang... 👍",Iran negara bermartabat Masih dikasi peringatan padahal itu kapal perang ,iran negara bermartabat masih dikasi peringatan padahal itu kapal perang ,iran negara bermartabat masih dikasi peringatan padahal itu kapal perang,"['iran', 'negara', 'bermartabat', 'masih', 'dikasi', 'peringatan', 'padahal', 'itu', 'kapal', 'perang']",iran negara bermartabat dikasi peringatan kapal perang
AS rezim Trump  menjadi negara pencuri.. wkwkkw,AS rezim Trump  menjadi negara pencuri wkwkkw,as rezim trump  menjadi negara pencuri wkwkkw,as rezim trump menjadi negara pencuri wkwkkw,"['as', 'rezim', 'trump', 'menjadi', 'negara', 'pencuri', 'wkwkkw']",amerika serikat rezim trump negara pencuri wkwkkw
Amerika dan Israel adalah negara penjajah dan negara teroris terbesar di muka bumi,Amerika dan Israel adalah negara penjajah dan negara teroris terbesar di muka bumi,amerika dan israel adalah negara penjajah dan negara teroris terbesar di muka bumi,amerika dan israel adalah negara penjajah dan negara teroris terbesar di muka bumi,"['amerika', 'dan', 'israel', 'adalah', 'negara', 'penjajah', 'dan', 'negara', 'teroris', 'terbesar', 'di', 'muka', 'bumi']",amerika israel negara penjajah negara teroris terbesar muka bumi
"Supaya AS mematuhi perundingan jalan satu-satunya Trumph harus diimpeachman jika tidak. China dan Rusia harus serang AS, perang dunia sekalian.....",Supaya AS mematuhi perundingan jalan satusatunya Trumph harus diimpeachman jika tidak China dan Rusia harus serang AS perang dunia sekalian,supaya as mematuhi perundingan jalan satusatunya trumph harus diimpeachman jika tidak china dan rusia harus serang as perang dunia sekalian,supaya as mematuhi perundingan jalan satusatunya trumph harus diimpeachman jika tidak china dan rusia harus serang as perang dunia sekalian,"['supaya', 'as', 'mematuhi', 'perundingan', 'jalan', 'satusatunya', 'trumph', 'harus', 'diimpeachman', 'jika', 'tidak', 'china', 'dan', 'rusia', 'harus', 'serang', 'as', 'perang', 'dunia', 'sekalian']",amerika serikat mematuhi perundingan jalan satusatunya trumph diimpeachman china rusia serang amerika serikat perang dunia
